product_name;brand;product_type;unit;unit_purchase;price_per_unit;total_price;currency;date;delivery;store_location;type_store;customer_name;cashier_name
Steel Door;WINA;Door;Piece;8;700000;5600000;IDR;28/07/2022 13:04;Delivery;Tasikmalaya;Head Office;Tono Malaka;Al Harits
Concrete Block;Bricon;Brick;Piece;49;5000;245000;IDR;05/03/2021 17:20;Delivery;Jayapura;Branch;Nina Wijaya;Fauzi Ghaffar
PVC Door;Maspion;Door;Piece;30;350000;10500000;IDR;04/02/2023 16:25;Pickup;Surabaya;Branch;Ferry Kusuma;Zahra Jasmine
Clay Roof Tile;Kanmuri;Roof Covering;Piece;5;2000;10000;IDR;24/04/2023 13:17;Pickup;Jayapura;Branch;Hendra Syaiban;Latifa Laila
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;16;76000;1216000;IDR;02/04/2024 16:43;Delivery;Denpasar;Branch;Tono Jayawardana;Ilyas Jabar
Concrete Sand;Unbranded;Sand;Cubic Meter;16;300000;4800000;IDR;14/05/2020 14:49;Delivery;Surabaya;Branch;Hendra Pahlevi;Agus Cahyadi
Holcim 50 kg;Holcim;Cement;Sack;24;68000;1632000;IDR;18/11/2020 10:13;Pickup;Tasikmalaya;Head Office;Syifa Wijaya;Ayu Putri Avicenna
Shower;American Standard;Sanitary;Set;17;200000;3400000;IDR;08/05/2024 11:12;Pickup;Jakarta;Branch;Ferry Syaiban;Fiona Gianna
Shovel;Camel;Tool;Piece;42;75000;3150000;IDR;14/12/2024 9:14;Delivery;Bandung;Branch;Erna Kusuma;Anwar Arif Akhtar
Asbestos Sheet;Djabesmen;Roof Covering;Meter;40;60000;2400000;IDR;14/04/2023 12:43;Delivery;Tasikmalaya;Head Office;Ayu Shihab;Ayu Putri Avicenna
Granite Tile;Indogress;Tile;Box;18;150000;2700000;IDR;29/10/2024 14:02;Pickup;Surabaya;Branch;Erna Jayawardana;Isabell Inaya
Gypsum Board;Jayaboard;Ceiling;Sheet;11;60000;660000;IDR;20/09/2023 11:10;Pickup;Bandung;Branch;Nina Jayawardana;Hera Harsha
Rebar 8mm;Master Steel;Steel;Meter;46;20000;920000;IDR;12/01/2024 9:33;Pickup;Denpasar;Branch;Erna Ubaid;Nina Octavia
Paint Roller;Ace Oldfields;Paint Accessory;Piece;12;25000;300000;IDR;02/12/2023 14:25;Delivery;Tasikmalaya;Head Office;Saiful Malaka;Ayu Putri Avicenna
Rebar 10mm;Gunung Steel;Steel;Meter;15;25000;375000;IDR;14/10/2022 13:31;Delivery;Denpasar;Branch;Asep Pahlevi;Nina Octavia
Door Lock;Solid;Lock;Set;26;100000;2600000;IDR;02/05/2024 10:39;Pickup;Bandung;Branch;Tono Shihab;Harum Hafsa
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;4;15000;60000;IDR;14/10/2021 11:13;Delivery;Jakarta;Branch;Kayla Malaka;Muhammad Fikru
Rebar 8mm;Master Steel;Steel;Meter;47;20000;940000;IDR;14/10/2020 16:09;Delivery;Medan;Branch;Budi Thalib;Kayla Kiki Lena
Wheelbarrow;Artco;Tool;Piece;13;450000;5850000;IDR;03/06/2020 13:28;Delivery;Jayapura;Branch;Budi Ubaid;Marshanda Maharani
Plaster Mortar;Mortar Utama (MU);Mortar;Sack;13;50000;650000;IDR;09/10/2020 8:08;Delivery;Tasikmalaya;Head Office;Ayu Pahlevi;Atyla Azfa
Sandpaper;Taiyo;Paint Accessory;Piece;37;5000;185000;IDR;09/11/2020 16:36;Pickup;Jakarta;Branch;Asep Wijaya;Erinna Elsa Elizha
Spirit Level;Krisbow;Tool;Piece;12;65000;780000;IDR;24/07/2021 15:25;Pickup;Bandung;Branch;Hendra Tanuwijaya;Asep Aziz
Wall Putty (Filler);Matex;Paint Accessory;Kg;47;20000;940000;IDR;23/06/2022 14:58;Delivery;Jayapura;Branch;Melania Pahlevi;Faiz Fadlurrahman
Concrete Sand;Unbranded;Sand;Cubic Meter;1;300000;300000;IDR;13/11/2020 9:34;Delivery;Medan;Branch;Ananda Tanuwijaya;Ehsan Aziz
Paint Brush;Eterna;Paint Accessory;Piece;8;15000;120000;IDR;30/07/2022 10:43;Pickup;Surabaya;Branch;Melania Ubaid;Isabell Inaya
Rebar 8mm;Master Steel;Steel;Meter;12;20000;240000;IDR;21/12/2022 13:18;Pickup;Tasikmalaya;Head Office;Kayla Syaiban;Atyla Azfa
Timber Roof Frame;Unbranded;Roof Frame;Meter;4;30000;120000;IDR;18/06/2024 11:01;Delivery;Medan;Branch;Hendra Wijaya;Kayla Kiki Lena
Wall Paint;Dulux;Paint;Can;13;120000;1560000;IDR;19/03/2022 11:10;Delivery;Bandung;Branch;Kayla Pahlevi;Hera Harsha
Concrete Roof Tile;Monier;Roof Covering;Piece;19;3500;66500;IDR;27/01/2022 9:02;Pickup;Jakarta;Branch;Tono Syaiban;Ahmad Adam
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;27;350000;9450000;IDR;28/03/2020 14:33;Delivery;Medan;Branch;Ferry Syaiban;Chairil Dhaifullah
Wall Putty (Filler);Matex;Paint Accessory;Kg;23;20000;460000;IDR;25/07/2023 12:03;Pickup;Surabaya;Branch;Budi Wijaya;Zahra Jasmine
Spirit Level;Krisbow;Tool;Piece;19;65000;1235000;IDR;03/06/2020 11:03;Pickup;Jayapura;Branch;Maya Pahlevi;Marshanda Maharani
Wooden Beam;Unbranded;Wood;Piece;35;40000;1400000;IDR;27/10/2020 9:33;Delivery;Jayapura;Branch;Azahra Tanuwijaya;Faiz Fadlurrahman
PVC Pipe;Rucika;Plumbing;Meter;41;16000;656000;IDR;25/04/2020 15:27;Pickup;Medan;Branch;Asep Pahlevi;Kezia Karen
Wooden Beam;Unbranded;Wood;Piece;21;40000;840000;IDR;13/03/2023 16:46;Pickup;Jakarta;Branch;Azahra Shihab;Fiona Gianna
Concrete Sand;Unbranded;Sand;Cubic Meter;27;300000;8100000;IDR;01/05/2020 11:12;Delivery;Surabaya;Branch;Maya Ubaid;Zahra Jasmine
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;37;350000;12950000;IDR;30/04/2020 11:56;Pickup;Jakarta;Branch;Nina Pahlevi;Muhammad Fikru
Paint Brush;Eterna;Paint Accessory;Piece;48;15000;720000;IDR;22/06/2021 11:30;Delivery;Surabaya;Branch;Saiful Kusuma;Zahra Jasmine
Door Lock;Solid;Lock;Set;25;100000;2500000;IDR;03/11/2021 15:52;Pickup;Tasikmalaya;Head Office;Maya Thalib;Al Harits
Water Faucet;Wasser;Sanitary;Piece;7;75000;525000;IDR;04/08/2023 8:51;Delivery;Tasikmalaya;Head Office;Erna Thalib;Naura Aliya Lestari
Ceramic Tile;Roman;Tile;Box;47;75000;3525000;IDR;05/01/2023 12:40;Delivery;Jayapura;Branch;Asep Syaiban;Marshanda Maharani
PVC Pipe;Wavin;Plumbing;Meter;50;15000;750000;IDR;30/10/2023 8:18;Delivery;Medan;Branch;Azahra Pahlevi;Chairil Dhaifullah
Concrete Block;Bricon;Brick;Piece;48;5000;240000;IDR;25/05/2024 12:32;Pickup;Jakarta;Branch;Syifa Malaka;Muhammad Fikru
Tiga Roda 40 kg;Tiga Roda;Cement;Sack;41;64000;2624000;IDR;27/02/2020 14:47;Pickup;Denpasar;Branch;Hendra Jayawardana;Ilyas Jabar
Wooden Door;Unbranded;Door;Piece;44;500000;22000000;IDR;20/07/2022 17:51;Delivery;Jayapura;Branch;Aleena Pahlevi;Latifa Laila
PVC Pipe;Rucika;Plumbing;Meter;18;16000;288000;IDR;23/03/2023 10:24;Delivery;Jayapura;Branch;Ferry Syaiban;Marshanda Maharani
Lamp Bulb;Philips;Electrical;Piece;32;15000;480000;IDR;02/04/2020 16:07;Pickup;Jayapura;Branch;Aleena Pahlevi;Latifa Laila
Water Faucet;Wasser;Sanitary;Piece;41;75000;3075000;IDR;07/12/2020 10:02;Delivery;Jakarta;Branch;Melania Syaiban;Fiona Gianna
Paint Roller;Ace Oldfields;Paint Accessory;Piece;25;25000;625000;IDR;07/02/2023 13:33;Pickup;Bandung;Branch;Tono Jayawardana;Harum Hafsa
Tile Grout;Sika;Mortar;Sack;18;45000;810000;IDR;13/10/2022 14:52;Pickup;Jakarta;Branch;Aleena Ubaid;Muhammad Fikru
Steel Door;WINA;Door;Piece;49;700000;34300000;IDR;29/01/2020 15:17;Delivery;Jayapura;Branch;Agung Shihab;Latifa Laila
Spirit Level;Krisbow;Tool;Piece;2;65000;130000;IDR;02/03/2020 13:15;Delivery;Medan;Branch;Tono Malaka;Kayla Kiki Lena
Wooden Beam;Unbranded;Wood;Piece;39;40000;1560000;IDR;18/04/2024 12:18;Delivery;Surabaya;Branch;Saiful Shihab;Burhan Bakhtiar
Metal Roof Tile;Multi Roof;Roof Covering;Piece;25;5000;125000;IDR;08/09/2023 13:23;Pickup;Jayapura;Branch;Hendra Jayawardana;Marshanda Maharani
Door Lock;Solid;Lock;Set;35;100000;3500000;IDR;11/04/2022 10:58;Pickup;Medan;Branch;Hendra Thalib;Chairil Dhaifullah
Spirit Level;Krisbow;Tool;Piece;39;65000;2535000;IDR;24/09/2020 15:49;Pickup;Surabaya;Branch;Nina Ubaid;Agus Cahyadi
Hand Saw;Tekiro;Tool;Piece;28;60000;1680000;IDR;05/10/2020 9:24;Pickup;Tasikmalaya;Head Office;Erna Tanuwijaya;Naura Aliya Lestari
GRC Board;KalsiBoard;Ceiling;Sheet;38;70000;2660000;IDR;21/01/2022 14:44;Pickup;Bandung;Branch;Nina Thalib;Hera Harsha
Sitting Toilet;TOTO;Sanitary;Piece;44;1200000;52800000;IDR;02/01/2023 14:02;Pickup;Medan;Branch;Azahra Syaiban;Ehsan Aziz
Trowel;Lippro;Tool;Piece;28;25000;700000;IDR;21/10/2024 14:15;Delivery;Tasikmalaya;Head Office;Erna Pahlevi;Naura Aliya Lestari
GRC Board;KalsiBoard;Ceiling;Sheet;47;70000;3290000;IDR;19/04/2022 17:29;Pickup;Tasikmalaya;Head Office;Aleena Thalib;Naura Aliya Lestari
Skim Coat (Wall Putty);Drymix;Mortar;Sack;37;55000;2035000;IDR;23/03/2022 8:20;Delivery;Tasikmalaya;Head Office;Asep Ubaid;Ayu Putri Avicenna
Wall Paint;Dulux;Paint;Can;18;120000;2160000;IDR;23/07/2021 13:29;Pickup;Surabaya;Branch;Melania Tanuwijaya;Zahra Jasmine
Asbestos Sheet;Djabesmen;Roof Covering;Meter;34;60000;2040000;IDR;02/06/2022 10:30;Delivery;Denpasar;Branch;Agus Wijaya;Ibrahim Iman
PVC Pipe;Wavin;Plumbing;Meter;9;15000;135000;IDR;01/11/2023 11:57;Delivery;Bandung;Branch;Tono Shihab;Asep Aziz
Concrete Block;Bricon;Brick;Piece;36;5000;180000;IDR;16/08/2023 9:12;Delivery;Jayapura;Branch;Syifa Tanuwijaya;Latifa Laila
Screwdriver Set;Tekiro;Tool;Set;4;40000;160000;IDR;18/10/2024 10:05;Delivery;Medan;Branch;Asep Pahlevi;Ehsan Aziz
Shovel;Camel;Tool;Piece;19;75000;1425000;IDR;25/06/2020 13:36;Pickup;Denpasar;Branch;Azahra Ubaid;Nina Octavia
Conduit Pipe;Clipsal;Electrical;Meter;22;7000;154000;IDR;27/10/2023 12:41;Pickup;Bandung;Branch;Maya Wijaya;Hera Harsha
Rebar 10mm;Gunung Steel;Steel;Meter;41;25000;1025000;IDR;16/09/2020 16:42;Delivery;Bandung;Branch;Budi Syaiban;Hera Harsha
Pliers;Tekiro;Tool;Piece;39;35000;1365000;IDR;23/12/2022 13:36;Pickup;Jakarta;Branch;Kayla Pahlevi;Fiona Gianna
Concrete Roof Tile;Monier;Roof Covering;Piece;48;3500;168000;IDR;03/05/2023 13:35;Delivery;Jayapura;Branch;Tono Syaiban;Latifa Laila
Gypsum Board;Jayaboard;Ceiling;Sheet;13;60000;780000;IDR;23/02/2023 14:51;Delivery;Bandung;Branch;Tono Ubaid;Harum Hafsa
Floor Drain;Onda;Sanitary;Piece;16;50000;800000;IDR;25/08/2022 15:24;Delivery;Bandung;Branch;Agus Wijaya;Harum Hafsa
Plaster Mortar;Mortar Utama (MU);Mortar;Sack;8;50000;400000;IDR;20/02/2024 17:06;Pickup;Jayapura;Branch;Tono Tanuwijaya;Latifa Laila
Pliers;Tekiro;Tool;Piece;35;35000;1225000;IDR;21/02/2022 9:44;Delivery;Denpasar;Branch;Tono Syaiban;Ibrahim Iman
Measuring Tape;Stanley;Tool;Piece;11;30000;330000;IDR;26/01/2021 16:56;Delivery;Medan;Branch;Melania Tanuwijaya;Kayla Kiki Lena
Timber Beam (Kaso);Unbranded;Wood;Piece;43;25000;1075000;IDR;25/11/2022 16:29;Delivery;Jayapura;Branch;Erna Ubaid;Faiz Fadlurrahman
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;17;90000;1530000;IDR;02/07/2024 10:36;Delivery;Bandung;Branch;Kayla Wijaya;Harum Hafsa
Skim Coat (Wall Putty);Drymix;Mortar;Sack;20;55000;1100000;IDR;28/10/2023 14:14;Delivery;Bandung;Branch;Saiful Syaiban;Hera Harsha
Masonry Sand;Unbranded;Sand;Cubic Meter;8;250000;2000000;IDR;10/06/2024 14:08;Delivery;Surabaya;Branch;Agung Tanuwijaya;Zahra Jasmine
Hand Saw;Tekiro;Tool;Piece;34;60000;2040000;IDR;29/03/2021 16:19;Pickup;Bandung;Branch;Asep Syaiban;Asep Aziz
Sitting Toilet;TOTO;Sanitary;Piece;9;1200000;10800000;IDR;18/05/2024 13:35;Pickup;Tasikmalaya;Head Office;Ayu Malaka;Al Harits
Timber Roof Frame;Unbranded;Roof Frame;Meter;22;30000;660000;IDR;19/06/2024 12:24;Pickup;Jakarta;Branch;Saiful Kusuma;Ahmad Adam
Masonry Sand;Unbranded;Sand;Cubic Meter;21;250000;5250000;IDR;19/01/2024 9:57;Delivery;Jakarta;Branch;Maya Tanuwijaya;Muhammad Fikru
Sitting Toilet;TOTO;Sanitary;Piece;17;1200000;20400000;IDR;03/04/2021 8:59;Delivery;Tasikmalaya;Head Office;Tono Malaka;Ayu Putri Avicenna
Formwork Board (Shuttering);Unbranded;Wood;Piece;47;30000;1410000;IDR;27/03/2021 14:24;Delivery;Jayapura;Branch;Tono Syaiban;Fauzi Ghaffar
Gresik 40 kg;Gresik;Cement;Sack;42;57000;2394000;IDR;25/05/2022 14:31;Pickup;Medan;Branch;Saiful Wijaya;Kezia Karen
Hammer;Lippro;Tool;Piece;42;50000;2100000;IDR;02/10/2021 10:59;Delivery;Denpasar;Branch;Ananda Malaka;Ibrahim Iman
Door Frame (Wood);Unbranded;Door Frame;Piece;23;250000;5750000;IDR;13/06/2022 12:21;Pickup;Tasikmalaya;Head Office;Asep Kusuma;Atyla Azfa
Concrete Roof Tile;Monier;Roof Covering;Piece;21;3500;73500;IDR;24/02/2023 11:37;Pickup;Jayapura;Branch;Budi Tanuwijaya;Fauzi Ghaffar
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;34;350000;11900000;IDR;22/08/2020 12:31;Delivery;Tasikmalaya;Head Office;Syifa Ubaid;Naura Aliya Lestari
Granite Tile;Indogress;Tile;Box;50;150000;7500000;IDR;18/01/2024 16:14;Pickup;Jayapura;Branch;Melania Tanuwijaya;Fauzi Ghaffar
Paint Roller;Ace Oldfields;Paint Accessory;Piece;47;25000;1175000;IDR;22/01/2024 13:07;Pickup;Tasikmalaya;Head Office;Ferry Jayawardana;Ayu Putri Avicenna
Tile Adhesive Mortar;AM;Mortar;Sack;5;60000;300000;IDR;22/02/2021 15:39;Delivery;Tasikmalaya;Head Office;Saiful Malaka;Naura Aliya Lestari
Timber Roof Frame;Unbranded;Roof Frame;Meter;38;30000;1140000;IDR;23/10/2024 16:16;Pickup;Bandung;Branch;Aleena Pahlevi;Asep Aziz
Plaster Mortar;Mortar Utama (MU);Mortar;Sack;27;50000;1350000;IDR;17/08/2023 11:49;Delivery;Bandung;Branch;Aleena Jayawardana;Anwar Arif Akhtar
Gresik 50 kg;Gresik;Cement;Sack;32;70000;2240000;IDR;10/04/2021 10:38;Pickup;Jakarta;Branch;Ferry Malaka;Muhammad Fikru
Measuring Tape;Stanley;Tool;Piece;27;30000;810000;IDR;20/02/2024 16:10;Pickup;Denpasar;Branch;Ayu Thalib;Nina Octavia
PVC Pipe;Wavin;Plumbing;Meter;42;15000;630000;IDR;28/01/2022 8:17;Delivery;Medan;Branch;Tono Thalib;Ehsan Aziz
Metal Roof Tile;Multi Roof;Roof Covering;Piece;22;5000;110000;IDR;29/10/2024 12:26;Delivery;Jakarta;Branch;Ayu Tanuwijaya;Ahmad Adam
Concrete Sand;Unbranded;Sand;Cubic Meter;37;300000;11100000;IDR;23/05/2023 9:32;Delivery;Tasikmalaya;Head Office;Budi Syaiban;Atyla Azfa
Squat Toilet;INA;Sanitary;Piece;5;300000;1500000;IDR;20/01/2024 8:43;Pickup;Jakarta;Branch;Ferry Wijaya;Fiona Gianna
River Stone;Unbranded;Stone;Cubic Meter;34;330000;11220000;IDR;06/07/2021 15:47;Pickup;Denpasar;Branch;Melania Shihab;Ibrahim Iman
Door Frame (Wood);Unbranded;Door Frame;Piece;36;250000;9000000;IDR;23/05/2024 11:49;Pickup;Surabaya;Branch;Azahra Kusuma;Isabell Inaya
Power Outlet;Panasonic;Electrical;Piece;5;20000;100000;IDR;16/09/2021 9:57;Delivery;Surabaya;Branch;Hendra Shihab;Isabell Inaya
Spirit Level;Krisbow;Tool;Piece;15;65000;975000;IDR;13/08/2021 13:46;Pickup;Jakarta;Branch;Agung Pahlevi;Erinna Elsa Elizha
PVC Pipe;Rucika;Plumbing;Meter;47;16000;752000;IDR;09/07/2020 11:58;Delivery;Surabaya;Branch;Syifa Ubaid;Agus Cahyadi
Rebar 6mm;Krakatau Steel;Steel;Meter;21;15000;315000;IDR;13/05/2022 8:00;Delivery;Denpasar;Branch;Nina Shihab;Permata Qaila
Power Outlet;Panasonic;Electrical;Piece;11;20000;220000;IDR;24/07/2024 16:05;Delivery;Tasikmalaya;Head Office;Agus Thalib;Al Harits
Gresik 50 kg;Gresik;Cement;Sack;37;70000;2590000;IDR;12/07/2024 9:29;Pickup;Medan;Branch;Erna Syaiban;Kezia Karen
Concrete Roof Tile;Monier;Roof Covering;Piece;32;3500;112000;IDR;10/10/2023 8:33;Delivery;Jakarta;Branch;Ayu Jayawardana;Erinna Elsa Elizha
Measuring Tape;Stanley;Tool;Piece;29;30000;870000;IDR;11/06/2024 15:05;Delivery;Denpasar;Branch;Saiful Jayawardana;Permata Qaila
Wooden Beam;Unbranded;Wood;Piece;34;40000;1360000;IDR;29/09/2023 8:07;Pickup;Tasikmalaya;Head Office;Nina Shihab;Ayu Putri Avicenna
Metal Roof Tile;Multi Roof;Roof Covering;Piece;9;5000;45000;IDR;10/07/2024 16:57;Delivery;Bandung;Branch;Ananda Tanuwijaya;Harum Hafsa
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;50;350000;17500000;IDR;04/09/2024 16:01;Delivery;Tasikmalaya;Head Office;Agung Ubaid;Atyla Azfa
Sandpaper;Taiyo;Paint Accessory;Piece;38;5000;190000;IDR;29/01/2024 8:45;Pickup;Surabaya;Branch;Asep Ubaid;Zahra Jasmine
Holcim 40 kg;Holcim;Cement;Sack;42;56000;2352000;IDR;18/12/2023 11:53;Delivery;Tasikmalaya;Head Office;Wawan Ubaid;Al Harits
PVC Pipe;Wavin;Plumbing;Meter;28;15000;420000;IDR;05/06/2021 13:01;Delivery;Surabaya;Branch;Azahra Ubaid;Isabell Inaya
Timber Roof Frame;Unbranded;Roof Frame;Meter;19;30000;570000;IDR;13/10/2020 8:19;Pickup;Tasikmalaya;Head Office;Ananda Jayawardana;Ayu Putri Avicenna
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;16;76000;1216000;IDR;15/06/2023 11:21;Pickup;Jayapura;Branch;Agus Thalib;Latifa Laila
Tile Adhesive Mortar;AM;Mortar;Sack;41;60000;2460000;IDR;23/10/2021 16:07;Delivery;Denpasar;Branch;Saiful Jayawardana;Ilyas Jabar
Timber Beam (Kaso);Unbranded;Wood;Piece;6;25000;150000;IDR;22/08/2024 16:27;Delivery;Jakarta;Branch;Melania Shihab;Erinna Elsa Elizha
Water Tank;Penguin;Plumbing;Piece;36;1500000;54000000;IDR;08/04/2024 9:48;Delivery;Jakarta;Branch;Ferry Kusuma;Fiona Gianna
Hammer;Lippro;Tool;Piece;39;50000;1950000;IDR;25/01/2020 8:55;Pickup;Jakarta;Branch;Saiful Wijaya;Ahmad Adam
Red Brick;Laksana;Brick;Piece;36;800;28800;IDR;01/07/2021 8:26;Pickup;Denpasar;Branch;Maya Wijaya;Ilyas Jabar
Tile Adhesive Mortar;AM;Mortar;Sack;26;60000;1560000;IDR;16/09/2021 16:17;Delivery;Tasikmalaya;Head Office;Ferry Shihab;Atyla Azfa
Power Outlet;Panasonic;Electrical;Piece;40;20000;800000;IDR;03/02/2021 17:33;Delivery;Bandung;Branch;Saiful Shihab;Harum Hafsa
Paint Brush;Eterna;Paint Accessory;Piece;18;15000;270000;IDR;14/10/2020 10:27;Pickup;Jayapura;Branch;Ananda Malaka;Fauzi Ghaffar
Timber Beam (Kaso);Unbranded;Wood;Piece;38;25000;950000;IDR;08/01/2021 11:50;Delivery;Medan;Branch;Saiful Jayawardana;Chairil Dhaifullah
Trowel;Lippro;Tool;Piece;26;25000;650000;IDR;20/05/2021 13:20;Pickup;Medan;Branch;Aleena Malaka;Chairil Dhaifullah
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;49;90000;4410000;IDR;08/01/2024 8:29;Delivery;Medan;Branch;Erna Malaka;Kayla Kiki Lena
Paint Roller;Ace Oldfields;Paint Accessory;Piece;27;25000;675000;IDR;29/04/2024 17:25;Pickup;Medan;Branch;Ferry Syaiban;Ehsan Aziz
Wooden Door;Unbranded;Door;Piece;29;500000;14500000;IDR;13/01/2022 15:05;Delivery;Tasikmalaya;Head Office;Nina Syaiban;Al Harits
Wooden Beam;Unbranded;Wood;Piece;25;40000;1000000;IDR;23/08/2021 16:31;Pickup;Surabaya;Branch;Azahra Kusuma;Isabell Inaya
Lightweight Brick (AAC Block);Hebel;Brick;Piece;8;10000;80000;IDR;24/11/2020 10:40;Delivery;Surabaya;Branch;Azahra Shihab;Isabell Inaya
Pliers;Tekiro;Tool;Piece;3;35000;105000;IDR;01/12/2020 10:49;Delivery;Denpasar;Branch;Ayu Tanuwijaya;Ilyas Jabar
Wall Putty (Filler);Matex;Paint Accessory;Kg;27;20000;540000;IDR;26/12/2023 13:14;Pickup;Surabaya;Branch;Ayu Pahlevi;Isabell Inaya
Squat Toilet;INA;Sanitary;Piece;3;300000;900000;IDR;26/08/2020 15:44;Delivery;Tasikmalaya;Head Office;Syifa Malaka;Al Harits
Holcim 40 kg;Holcim;Cement;Sack;37;56000;2072000;IDR;04/04/2020 13:26;Delivery;Medan;Branch;Aleena Ubaid;Kezia Karen
Timber Roof Frame;Unbranded;Roof Frame;Meter;40;30000;1200000;IDR;11/07/2023 8:20;Delivery;Jakarta;Branch;Budi Thalib;Muhammad Fikru
Concrete Roof Tile;Monier;Roof Covering;Piece;25;3500;87500;IDR;21/10/2021 13:14;Pickup;Jayapura;Branch;Kayla Shihab;Faiz Fadlurrahman
Hammer;Lippro;Tool;Piece;46;50000;2300000;IDR;23/12/2022 15:32;Pickup;Bandung;Branch;Tono Ubaid;Anwar Arif Akhtar
Shovel;Camel;Tool;Piece;14;75000;1050000;IDR;21/07/2023 15:31;Delivery;Bandung;Branch;Maya Kusuma;Asep Aziz
Timber Roof Frame;Unbranded;Roof Frame;Meter;46;30000;1380000;IDR;21/11/2022 10:55;Delivery;Jayapura;Branch;Wawan Thalib;Fauzi Ghaffar
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;25;350000;8750000;IDR;28/09/2023 14:31;Delivery;Denpasar;Branch;Azahra Thalib;Ibrahim Iman
Wall Paint;Dulux;Paint;Can;46;120000;5520000;IDR;22/09/2022 8:39;Pickup;Denpasar;Branch;Tono Malaka;Nina Octavia
Measuring Tape;Stanley;Tool;Piece;6;30000;180000;IDR;19/03/2020 12:41;Delivery;Jayapura;Branch;Kayla Kusuma;Faiz Fadlurrahman
Plaster Mortar;Mortar Utama (MU);Mortar;Sack;5;50000;250000;IDR;07/11/2023 16:32;Pickup;Surabaya;Branch;Aleena Syaiban;Isabell Inaya
Metal Roof Tile;Multi Roof;Roof Covering;Piece;28;5000;140000;IDR;05/12/2020 16:28;Delivery;Jayapura;Branch;Tono Tanuwijaya;Marshanda Maharani
Spirit Level;Krisbow;Tool;Piece;39;65000;2535000;IDR;27/09/2023 8:55;Delivery;Surabaya;Branch;Ferry Syaiban;Zahra Jasmine
Spirit Level;Krisbow;Tool;Piece;48;65000;3120000;IDR;03/07/2020 9:44;Delivery;Tasikmalaya;Head Office;Aleena Thalib;Atyla Azfa
Paint Roller;Ace Oldfields;Paint Accessory;Piece;10;25000;250000;IDR;21/06/2022 9:57;Delivery;Jayapura;Branch;Saiful Kusuma;Faiz Fadlurrahman
Ceramic Tile;Roman;Tile;Box;29;75000;2175000;IDR;18/06/2021 8:36;Delivery;Jakarta;Branch;Ananda Syaiban;Fiona Gianna
Tile Grout;Sika;Mortar;Sack;1;45000;45000;IDR;26/06/2023 13:50;Pickup;Jakarta;Branch;Melania Ubaid;Muhammad Fikru
Hand Saw;Tekiro;Tool;Piece;28;60000;1680000;IDR;04/11/2024 16:56;Pickup;Surabaya;Branch;Syifa Syaiban;Zahra Jasmine
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;3;350000;1050000;IDR;03/03/2023 17:56;Delivery;Jayapura;Branch;Budi Kusuma;Marshanda Maharani
Rebar 6mm;Krakatau Steel;Steel;Meter;21;15000;315000;IDR;19/06/2024 10:35;Delivery;Medan;Branch;Syifa Jayawardana;Kayla Kiki Lena
Formwork Board (Shuttering);Unbranded;Wood;Piece;19;30000;570000;IDR;29/04/2020 12:57;Delivery;Jayapura;Branch;Tono Thalib;Fauzi Ghaffar
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;50;76000;3800000;IDR;01/11/2021 12:42;Delivery;Surabaya;Branch;Tono Malaka;Burhan Bakhtiar
Floor Drain;Onda;Sanitary;Piece;34;50000;1700000;IDR;04/06/2021 11:42;Delivery;Tasikmalaya;Head Office;Ferry Syaiban;Ayu Putri Avicenna
Clay Roof Tile;Kanmuri;Roof Covering;Piece;12;2000;24000;IDR;25/07/2024 8:25;Pickup;Tasikmalaya;Head Office;Erna Thalib;Ayu Putri Avicenna
Screwdriver Set;Tekiro;Tool;Set;9;40000;360000;IDR;19/12/2023 11:07;Pickup;Medan;Branch;Nina Pahlevi;Ehsan Aziz
Tile Adhesive Mortar;AM;Mortar;Sack;15;60000;900000;IDR;05/12/2023 9:37;Pickup;Tasikmalaya;Head Office;Erna Syaiban;Ayu Putri Avicenna
Wooden Beam;Unbranded;Wood;Piece;13;40000;520000;IDR;17/10/2020 16:17;Pickup;Bandung;Branch;Ferry Malaka;Asep Aziz
Door Handle;Belleza;Lock Accessory;Piece;5;50000;250000;IDR;16/02/2022 14:30;Delivery;Medan;Branch;Saiful Syaiban;Ehsan Aziz
Shovel;Camel;Tool;Piece;5;75000;375000;IDR;09/09/2020 12:29;Pickup;Medan;Branch;Syifa Pahlevi;Ehsan Aziz
Door Frame (Wood);Unbranded;Door Frame;Piece;11;250000;2750000;IDR;16/06/2022 11:48;Delivery;Tasikmalaya;Head Office;Melania Malaka;Naura Aliya Lestari
Door Hinge;Belleza;Lock Accessory;Pair;23;30000;690000;IDR;10/05/2023 9:31;Delivery;Jakarta;Branch;Ferry Kusuma;Ahmad Adam
